MonthlyCharges,data_source,StreamingMovies,Partner,value,PhoneService,InternetService,StreamingTV,OnlineSecurity,MultipleLines,Dependents,DeviceProtection,SeniorCitizen,TotalCharges,TechSupport,gender ,PaperlessBilling,tenure,Churn,OnlineBackup,PaymentMethod,Contract,customerID
56.1,other,No,No,151642.0,Yes,DSL,No,No,Yes,No,Yes,0.0,1033.9,No,Female,Yes,19.0,No,No,Mailed check,Month-to-month,5939-XAIXZ
115.15,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,0.0,8349.7,Yes,Female,No,72.0,No,Yes,Electronic check,Two year,2380-DAMQP
79.25,other,Yes,No,151642.0,Yes,Fiber optic,No,No,No,No,No,1.0,793.55,No,Male,Yes,10.0,Yes,No,Electronic check,Month-to-month,8225-BTJAU
94.8,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,No,No,No,0.0,3565.65,No,Female,Yes,36.0,No,Yes,Credit card (automatic),Month-to-month,7982-VCELR
64.35,other,No,Yes,151642.0,Yes,DSL,No,Yes,Yes,Yes,Yes,0.0,1558.65,No,Female,No,24.0,No,Yes,Electronic check,Two year,1904-WAJAA
70.75,other,Yes,No,151642.0,Yes,DSL,Yes,No,No,No,No,0.0,450.8,Yes,Female,Yes,7.0,Yes,No,Credit card (automatic),Month-to-month,9210-IAHGH
20.05,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,1201.65,No internet service,Male,Yes,62.0,No,No internet service,Credit card (automatic),Two year,3635-QQRQD
115.25,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,0.0,6758.45,Yes,Female,No,60.0,No,Yes,Credit card (automatic),Two year,3882-IYOIJ
74.95,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,74.95,No,Male,Yes,1.0,Yes,No,Electronic check,Month-to-month,1157-BQCUW
53.0,other,Yes,Yes,151642.0,No,DSL,Yes,No,No phone service,Yes,Yes,1.0,3656.25,No,Female,Yes,68.0,No,Yes,Electronic check,Two year,2197-OMWGI
82.0,other,Yes,Yes,151642.0,Yes,DSL,Yes,No,Yes,Yes,Yes,0.0,2083.1,Yes,Male,Yes,26.0,No,No,Credit card (automatic),One year,9470-RTWDV
19.5,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,19.5,No internet service,Female,No,1.0,Yes,No internet service,Mailed check,Month-to-month,7551-JOHTI
19.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,855.1,No internet service,Male,No,48.0,No,No internet service,Mailed check,Two year,6425-JWTDV
19.2,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,776.25,No internet service,Male,Yes,43.0,No,No internet service,Mailed check,One year,3653-NCRDJ
20.05,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,20.05,No internet service,Male,No,1.0,No,No internet service,Mailed check,Month-to-month,8749-CLJXC
,other,,Yes,151642.0,Yes,,,,,No,,1.0,,,Female,,27.0,,,,,0886-QGENL
25.0,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,No,No internet service,0.0,1753,No internet service,Female,No,71.0,No,No internet service,Bank transfer (automatic),Two year,9153-BTBVV
104.15,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,7689.95,No,Male,Yes,72.0,Yes,Yes,Bank transfer (automatic),Two year,0917-EZOLA
94.85,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,462.8,No,Male,Yes,5.0,Yes,No,Bank transfer (automatic),Month-to-month,3387-VATUS
19.1,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,1143.8,No internet service,Female,No,61.0,No,No internet service,Credit card (automatic),One year,1697-LYYYX
83.3,other,Yes,Yes,151642.0,Yes,DSL,Yes,No,Yes,No,Yes,0.0,5894.5,Yes,Female,Yes,71.0,No,Yes,Credit card (automatic),Two year,5197-LQXXH
89.85,other,No,No,151642.0,Yes,Fiber optic,No,Yes,Yes,No,No,0.0,5844.65,Yes,Female,Yes,65.0,No,Yes,Electronic check,One year,6266-QHOJZ
94.95,other,Yes,No,151642.0,Yes,Fiber optic,No,No,No,No,Yes,0.0,2142.8,Yes,Male,Yes,22.0,No,Yes,Bank transfer (automatic),Month-to-month,4391-LNRXK
48.7,other,Yes,Yes,151642.0,No,DSL,No,Yes,No phone service,Yes,Yes,0.0,2495.2,No,Female,Yes,53.0,No,Yes,Bank transfer (automatic),Month-to-month,5307-UVGNB
24.65,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1574.5,No internet service,Male,No,63.0,No,No internet service,Credit card (automatic),Two year,8780-IHCRN
75.1,other,Yes,Yes,151642.0,Yes,DSL,No,Yes,Yes,No,Yes,0.0,5064.45,No,Female,No,67.0,No,Yes,Mailed check,One year,9251-WNSOD
97.35,other,No,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,0.0,3457.9,No,Female,Yes,36.0,Yes,Yes,Bank transfer (automatic),Month-to-month,9445-SZLCH
95.9,other,No,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,0.0,6954.15,No,Female,Yes,72.0,No,Yes,Bank transfer (automatic),Two year,8639-NHQEI
61.4,other,No,Yes,151642.0,Yes,DSL,No,Yes,No,Yes,No,0.0,1864.65,Yes,Female,No,32.0,No,Yes,Bank transfer (automatic),Month-to-month,5061-PBXFW
101.15,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,6067.4,No,Male,No,60.0,No,No,Credit card (automatic),Two year,3716-LRGXK
20.05,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,1090.1,No internet service,Female,No,56.0,No,No internet service,Mailed check,Two year,8129-GMVGI
72.8,other,No,Yes,151642.0,Yes,DSL,Yes,Yes,Yes,No,No,0.0,2333.05,Yes,Male,Yes,32.0,No,No,Credit card (automatic),One year,9730-DRTMJ
79.85,other,Yes,No,151642.0,Yes,DSL,No,Yes,Yes,No,Yes,0.0,4786.1,Yes,Female,No,59.0,No,Yes,Credit card (automatic),One year,2890-WFBHU
73.85,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,511.25,No,Female,Yes,7.0,Yes,No,Electronic check,Month-to-month,0122-OAHPZ
108.05,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,7118.9,Yes,Female,Yes,65.0,No,Yes,Credit card (automatic),One year,2692-AQCPF
117.5,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,0.0,8670.1,Yes,Female,No,72.0,No,Yes,Credit card (automatic),Two year,9739-JLPQJ
98.8,other,Yes,No,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,No,1.0,5617.75,No,Male,Yes,55.0,Yes,No,Electronic check,Month-to-month,3005-NFMTA
25.3,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1748.55,No internet service,Female,Yes,65.0,No,No internet service,Bank transfer (automatic),Two year,2799-TSLAG
19.55,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,19.55,No internet service,Male,No,1.0,No,No internet service,Mailed check,Month-to-month,7601-WFVZV
55.3,other,No,No,151642.0,Yes,DSL,No,Yes,No,No,No,0.0,1530.6,No,Female,Yes,30.0,No,Yes,Bank transfer (automatic),Month-to-month,6865-JZNKO
50.5,other,No,No,151642.0,Yes,DSL,No,No,No,No,Yes,0.0,50.5,No,Male,Yes,1.0,Yes,No,Electronic check,Month-to-month,6608-QQLVK
100.75,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,1313.25,Yes,Male,No,13.0,No,No,Electronic check,Month-to-month,7315-WYOAW
20.3,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,1.0,1356.3,No internet service,Male,No,69.0,No,No internet service,Credit card (automatic),Two year,7515-LODFU
94.1,other,Yes,No,151642.0,Yes,Fiber optic,No,No,Yes,No,Yes,1.0,1782.4,No,Female,Yes,20.0,Yes,Yes,Electronic check,Month-to-month,5609-CEBID
33.5,other,No,No,151642.0,No,DSL,No,No,No phone service,No,Yes,0.0,600,No,Male,Yes,18.0,Yes,Yes,Credit card (automatic),Month-to-month,2011-TRQYE
49.65,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,267.35,Yes,Female,Yes,6.0,Yes,No,Bank transfer (automatic),Month-to-month,1213-NGCUN
70.7,other,No,Yes,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,141.45,No,Female,Yes,2.0,Yes,No,Electronic check,Month-to-month,8835-VSDSE
20.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,439.75,No internet service,Male,No,24.0,No,No internet service,Mailed check,One year,1834-WULEG
100.5,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,6029,No,Female,Yes,60.0,No,No,Credit card (automatic),One year,0512-FLFDW
45.25,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,428.7,No,Female,No,10.0,No,No,Mailed check,Month-to-month,8095-WANWK
75.35,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,338.1,No,Female,No,4.0,Yes,No,Electronic check,Month-to-month,1602-IJQQE
80.45,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,2429.1,No,Male,Yes,31.0,No,Yes,Electronic check,Month-to-month,8819-IMISP
24.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,No,No internet service,0.0,1732.95,No internet service,Female,Yes,71.0,No,No internet service,Credit card (automatic),Two year,7014-ZZXAW
74.85,other,No,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,1.0,156.4,No,Male,Yes,2.0,Yes,No,Mailed check,Month-to-month,7235-NXZCP
75.2,other,No,Yes,151642.0,Yes,Fiber optic,No,No,Yes,Yes,No,1.0,775.3,No,Male,Yes,11.0,No,No,Credit card (automatic),Month-to-month,2460-NGXBJ
93.95,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,No,Yes,No,1.0,2861.45,No,Male,Yes,32.0,No,Yes,Mailed check,Month-to-month,0111-KLBQG
24.1,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,73.1,No internet service,Male,No,4.0,No,No internet service,Credit card (automatic),One year,4116-IQRFR
48.7,other,No,Yes,151642.0,Yes,DSL,No,No,No,Yes,Yes,0.0,340.25,No,Male,No,7.0,Yes,No,Electronic check,Month-to-month,4958-GZWIY
104.4,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,3409.6,No,Female,Yes,33.0,Yes,Yes,Electronic check,Month-to-month,5219-YIPTK
56.05,other,No,Yes,151642.0,No,DSL,Yes,Yes,No phone service,Yes,Yes,0.0, ,Yes,Female,No,0.0,No,Yes,Credit card (automatic),Two year,1371-DWPAZ
104.05,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,6890,Yes,Male,Yes,66.0,Yes,Yes,Electronic check,One year,3763-GCZHZ
40.05,other,Yes,Yes,151642.0,No,DSL,No,Yes,No phone service,Yes,No,1.0,880.2,No,Male,No,22.0,Yes,No,Mailed check,Month-to-month,5180-UCIIQ
44.8,other,No,Yes,151642.0,Yes,DSL,No,No,No,Yes,No,0.0,169.65,No,Male,No,4.0,No,No,Electronic check,Month-to-month,2480-SQIOB
53.65,other,No,Yes,151642.0,Yes,DSL,No,Yes,No,No,No,0.0,3804.4,No,Male,Yes,69.0,No,Yes,Credit card (automatic),One year,1122-YJBCS
60.0,other,No,No,151642.0,Yes,DSL,No,Yes,No,Yes,No,0.0,60,Yes,Female,Yes,1.0,Yes,Yes,Electronic check,Month-to-month,4797-AXPXK
20.05,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,33.7,No internet service,Male,No,2.0,No,No internet service,Mailed check,Month-to-month,0188-GWFLE
75.0,other,No,Yes,151642.0,Yes,Fiber optic,No,Yes,No,No,No,0.0,658.1,No,Male,Yes,8.0,No,No,Mailed check,Month-to-month,9552-TGUZV
64.25,other,No,Yes,151642.0,Yes,DSL,Yes,Yes,No,Yes,Yes,0.0,1024,No,Male,No,16.0,No,No,Mailed check,Two year,6371-NZYEG
19.6,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,19.6,No internet service,Male,Yes,1.0,Yes,No internet service,Mailed check,Month-to-month,7989-CHGTL
91.2,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,No,Yes,No,0.0,3247.55,No,Male,No,37.0,No,No,Credit card (automatic),One year,0048-LUMLS
99.0,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,1.0,6017.9,Yes,Male,Yes,60.0,No,No,Electronic check,Month-to-month,2277-DJJDL
19.2,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,702.9,No internet service,Female,No,36.0,No,No internet service,Bank transfer (automatic),Month-to-month,7168-HDQHG
28.6,other,No,No,151642.0,No,DSL,No,No,No phone service,No,No,0.0,973.55,Yes,Female,No,37.0,Yes,No,Credit card (automatic),Month-to-month,3285-UCQVC
52.2,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,52.2,Yes,Female,Yes,1.0,Yes,No,Electronic check,Month-to-month,4678-DVQEO
45.4,other,No,Yes,151642.0,No,DSL,Yes,Yes,No phone service,No,No,0.0,1593.1,Yes,Female,No,37.0,No,No,Electronic check,Two year,2580-ASVVY
70.35,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,No,0.0,2552.9,No,Male,Yes,37.0,No,No,Mailed check,Month-to-month,7147-AYBAA
19.9,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,1397.3,No internet service,Female,No,71.0,No,No internet service,Credit card (automatic),Two year,1052-QJIBV
93.9,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,486.85,No,Female,Yes,5.0,Yes,No,Mailed check,Month-to-month,5380-AFSSK
98.85,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,1.0,4564.9,No,Male,Yes,46.0,No,No,Electronic check,Month-to-month,1751-NCDLI
44.4,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,44.4,No,Male,No,1.0,Yes,No,Mailed check,Month-to-month,6982-SSHFK
19.8,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,1378.75,No internet service,Female,No,70.0,No,No internet service,Bank transfer (automatic),Two year,8750-QWZAJ
50.2,other,No,Yes,151642.0,Yes,DSL,No,No,No,No,Yes,0.0,668.85,No,Male,No,14.0,No,No,Credit card (automatic),Month-to-month,8735-IJJEG
69.75,other,No,No,151642.0,Yes,DSL,Yes,No,No,No,Yes,0.0,3894.4,Yes,Female,No,57.0,No,Yes,Mailed check,Two year,0602-DDUML
44.6,other,No,No,151642.0,Yes,DSL,No,No,No,Yes,No,0.0,681.4,No,Male,No,17.0,No,No,Mailed check,One year,5160-UXJED
20.1,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,184.4,No internet service,Female,No,10.0,No,No internet service,Mailed check,One year,1952-DVVSW
86.6,other,Yes,No,151642.0,Yes,Fiber optic,No,No,Yes,No,No,0.0,86.6,No,Male,Yes,1.0,Yes,No,Electronic check,Month-to-month,8603-IJWDN
45.4,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,45.4,No,Female,Yes,1.0,No,No,Mailed check,Month-to-month,2275-RBYQS
20.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,401.95,No internet service,Female,Yes,18.0,No,No internet service,Mailed check,Month-to-month,4054-CUMIA
85.6,other,Yes,Yes,151642.0,Yes,Fiber optic,No,No,No,Yes,No,0.0,1601.5,Yes,Male,Yes,18.0,No,No,Electronic check,Month-to-month,2027-CWDNU
114.05,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,0.0,8289.2,Yes,Male,Yes,72.0,No,Yes,Credit card (automatic),Two year,3892-NXAZG
103.7,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,No,Yes,Yes,0.0,5656.75,Yes,Female,Yes,55.0,No,Yes,Bank transfer (automatic),One year,0036-IHMOT
45.15,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,416.45,No,Female,No,9.0,Yes,No,Electronic check,Month-to-month,6410-LEFEN
20.4,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,743.5,No internet service,Male,No,38.0,No,No internet service,Bank transfer (automatic),Two year,1087-GRUYI
,other,,Yes,151642.0,Yes,,,,,Yes,,0.0,,,Male,,68.0,,,,,2898-MRKPI
25.1,other,No,Yes,151642.0,No,DSL,No,No,No phone service,No,No,0.0,1097.15,No,Male,Yes,42.0,No,No,Credit card (automatic),Month-to-month,6743-HHQPF
25.25,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,0.0,1006.9,No internet service,Male,No,40.0,No,No internet service,Credit card (automatic),Two year,3472-QPRCH
20.65,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,Yes,No internet service,0.0,1057,No internet service,Female,No,48.0,No,No internet service,Bank transfer (automatic),Two year,1862-QRWPE
81.15,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,Yes,0.0,952.3,No,Female,Yes,13.0,Yes,Yes,Electronic check,Month-to-month,9625-QSTYE
25.65,other,No,No,151642.0,No,DSL,No,No,No phone service,No,No,0.0,440.2,No,Male,Yes,17.0,No,No,Mailed check,Month-to-month,6029-CSMJE
55.0,other,No,No,151642.0,Yes,DSL,No,No,No,No,Yes,0.0,1046.5,Yes,Male,Yes,19.0,Yes,No,Credit card (automatic),Month-to-month,8292-TYSPY
20.5,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,563.05,No internet service,Female,No,28.0,No,No internet service,Mailed check,Month-to-month,0536-BGFMZ
99.8,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,No,Yes,Yes,0.0,4391.25,No,Female,Yes,46.0,No,Yes,Electronic check,Month-to-month,8631-WUXGY
94.1,other,Yes,Yes,151642.0,Yes,Fiber optic,No,Yes,Yes,No,No,0.0,5475.9,No,Female,Yes,60.0,No,Yes,Credit card (automatic),Month-to-month,5334-JLAXU
39.6,other,No,No,151642.0,No,DSL,No,Yes,No phone service,No,Yes,0.0,2424.5,No,Male,No,60.0,No,Yes,Bank transfer (automatic),Two year,0343-QLUZP
87.6,other,No,No,151642.0,Yes,Fiber optic,No,Yes,No,No,Yes,0.0,2724.25,Yes,Female,No,31.0,No,No,Electronic check,Month-to-month,4673-KKSLS
43.9,other,No,No,151642.0,No,DSL,Yes,Yes,No phone service,No,No,0.0,3097.2,Yes,Male,No,67.0,No,No,Electronic check,Two year,9610-WCESF
59.0,other,No,No,151642.0,Yes,DSL,No,Yes,Yes,No,No,0.0,1254.7,No,Male,No,22.0,Yes,Yes,Electronic check,Month-to-month,7854-EDSSA
87.2,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,No,Yes,Yes,0.0,4345,Yes,Female,Yes,49.0,No,Yes,Mailed check,One year,5204-HMGYF
83.8,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,Yes,1.0,1029.75,Yes,Male,Yes,12.0,Yes,Yes,Mailed check,Month-to-month,8802-UNOJF
69.4,other,No,Yes,151642.0,Yes,DSL,Yes,Yes,Yes,Yes,No,0.0,3058.3,No,Male,Yes,42.0,No,Yes,Bank transfer (automatic),Month-to-month,8401-EMUWF
20.5,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,1.0,429.55,No internet service,Male,No,21.0,No,No internet service,Bank transfer (automatic),One year,8746-BFOAJ
68.15,other,Yes,No,151642.0,Yes,DSL,No,No,Yes,No,No,0.0,2656.3,Yes,Female,No,38.0,No,Yes,Credit card (automatic),Month-to-month,6368-NWMCE
56.05,other,No,Yes,151642.0,No,DSL,Yes,Yes,No phone service,Yes,Yes,0.0, ,Yes,Female,No,0.0,No,Yes,Credit card (automatic),Two year,1371-DWPAZ
19.6,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,471.85,No internet service,Male,Yes,26.0,No,No internet service,Bank transfer (automatic),One year,0042-JVWOJ
85.8,other,No,Yes,151642.0,Yes,Fiber optic,No,No,Yes,No,Yes,0.0,2440.25,No,Male,Yes,29.0,No,Yes,Electronic check,Month-to-month,9885-AIBVB
108.45,other,Yes,No,151642.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,0.0,4964.7,Yes,Male,Yes,45.0,No,No,Credit card (automatic),Month-to-month,1216-BGTSP
81.9,other,No,No,151642.0,Yes,Fiber optic,Yes,No,No,No,No,0.0,1028.9,No,Female,Yes,13.0,No,No,Mailed check,Month-to-month,0620-DLSLK
25.55,other,No internet service,Yes,151642.0,Yes,No,No internet service,No internet service,Yes,No,No internet service,0.0,1714.95,No internet service,Female,No,64.0,No,No internet service,Mailed check,Two year,3913-RDSJZ
40.15,other,No,Yes,151642.0,No,DSL,Yes,Yes,No phone service,No,No,0.0,1626.05,No,Male,Yes,42.0,No,No,Bank transfer (automatic),Month-to-month,8644-XYTSV
79.6,other,No,No,151642.0,Yes,Fiber optic,No,No,No,No,Yes,0.0,5461.45,No,Male,No,68.0,No,Yes,Credit card (automatic),One year,6869-FGJJC
50.3,other,No,Yes,151642.0,Yes,DSL,No,No,No,No,No,0.0,908.75,Yes,Female,Yes,18.0,No,No,Mailed check,Month-to-month,5366-OBVMR
69.5,other,No,No,151642.0,Yes,DSL,Yes,Yes,Yes,No,Yes,0.0,1199.4,No,Male,No,18.0,No,No,Mailed check,Month-to-month,6890-PFRQX
99.5,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,No,No,Yes,0.0,2369.05,No,Female,Yes,25.0,Yes,Yes,Electronic check,Month-to-month,4009-ALQFH
48.4,other,Yes,No,151642.0,No,DSL,No,Yes,No phone service,No,Yes,0.0,3442.8,Yes,Male,No,70.0,No,No,Bank transfer (automatic),Two year,0848-SOMKO
48.95,other,No,Yes,151642.0,Yes,DSL,No,No,Yes,Yes,No,0.0,273.25,No,Female,Yes,6.0,No,No,Credit card (automatic),Month-to-month,2720-FVBQP
84.3,other,No,Yes,151642.0,Yes,Fiber optic,Yes,No,No,No,Yes,0.0,1308.4,No,Female,Yes,15.0,Yes,No,Electronic check,Month-to-month,7861-UVUFT
104.25,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,6860.6,Yes,Male,Yes,66.0,No,Yes,Electronic check,One year,9821-BESNZ
88.35,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,No,Yes,No,0.0,1222.8,No,Female,No,13.0,Yes,No,Electronic check,Month-to-month,3143-JQEGI
65.6,other,No,No,151642.0,Yes,DSL,No,Yes,No,Yes,Yes,0.0,1010,Yes,Female,No,15.0,No,Yes,Credit card (automatic),One year,4957-TIALW
78.45,other,Yes,No,151642.0,Yes,DSL,Yes,No,Yes,No,Yes,0.0,3373.4,Yes,Female,Yes,42.0,No,No,Credit card (automatic),Two year,8434-PNQZX
79.4,other,Yes,Yes,151642.0,Yes,DSL,No,Yes,Yes,Yes,Yes,0.0,4820.55,Yes,Female,Yes,61.0,No,Yes,Electronic check,One year,9500-IWPXQ
59.45,other,No,No,151642.0,Yes,DSL,Yes,No,No,No,No,0.0,357.6,No,Male,No,6.0,No,Yes,Electronic check,Month-to-month,6218-KNUBD
19.5,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,225.85,No internet service,Male,No,10.0,No,No internet service,Mailed check,One year,8076-FEZKJ
48.6,other,No,No,151642.0,Yes,DSL,No,Yes,No,No,No,0.0,48.6,No,Female,Yes,1.0,Yes,No,Credit card (automatic),Month-to-month,1794-HBQTJ
51.0,other,No,Yes,151642.0,Yes,DSL,No,No,Yes,Yes,No,1.0,1381.8,No,Male,Yes,28.0,No,No,Electronic check,One year,5315-CKEQK
109.15,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,Yes,0.0,6941.2,Yes,Male,Yes,65.0,Yes,Yes,Electronic check,Month-to-month,3571-RFHAR
84.8,other,No,Yes,151642.0,Yes,Fiber optic,No,Yes,No,Yes,Yes,0.0,5598.3,No,Female,No,67.0,No,Yes,Bank transfer (automatic),One year,6736-DHUQI
61.4,other,Yes,Yes,151642.0,Yes,DSL,No,Yes,No,Yes,No,0.0,815.55,No,Male,Yes,14.0,No,Yes,Bank transfer (automatic),Two year,9715-SBVSU
89.4,other,No,Yes,151642.0,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,0.0,1539.45,No,Male,Yes,17.0,Yes,No,Electronic check,Month-to-month,6413-XKKPU
104.5,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,0.0,3684.95,No,Female,Yes,36.0,No,No,Credit card (automatic),Month-to-month,8123-QBNAZ
96.1,other,Yes,Yes,151642.0,Yes,Fiber optic,No,No,Yes,Yes,Yes,1.0,6019.35,No,Female,Yes,62.0,No,Yes,Credit card (automatic),Month-to-month,9544-PYPSJ
49.55,other,No,Yes,151642.0,Yes,DSL,No,No,No,No,Yes,0.0,878.35,No,Male,Yes,18.0,Yes,No,Mailed check,Month-to-month,7410-KTVFV
91.15,other,Yes,Yes,151642.0,Yes,DSL,Yes,Yes,Yes,No,Yes,0.0,6637.9,Yes,Female,Yes,72.0,No,Yes,Bank transfer (automatic),Two year,1227-UDMZR
53.15,other,Yes,Yes,151642.0,No,DSL,Yes,Yes,No phone service,No,Yes,0.0,1930.9,No,Male,No,35.0,No,No,Credit card (automatic),One year,8318-LCNBW
100.05,other,Yes,Yes,151642.0,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,0.0,3046.15,No,Female,Yes,30.0,Yes,No,Electronic check,Month-to-month,9647-ERGBE
99.8,other,Yes,No,151642.0,Yes,Fiber optic,Yes,No,Yes,No,No,0.0,673.25,No,Male,Yes,7.0,Yes,Yes,Electronic check,Month-to-month,3811-VBYBZ
74.3,other,Yes,No,151642.0,Yes,DSL,Yes,Yes,No,No,No,0.0,4698.05,No,Male,Yes,62.0,No,Yes,Credit card (automatic),One year,3658-QQJYD
58.6,other,No,Yes,151642.0,Yes,DSL,No,Yes,No,No,Yes,0.0,3068.6,No,Male,No,55.0,No,Yes,Electronic check,Two year,6504-VBLFL
59.0,other,Yes,Yes,151642.0,No,DSL,Yes,Yes,No phone service,Yes,Yes,0.0,3707.6,No,Male,No,63.0,No,Yes,Electronic check,Two year,9995-HOTOH
19.95,other,No internet service,No,151642.0,Yes,No,No internet service,No internet service,No,No,No internet service,0.0,19.95,No internet service,Male,No,1.0,Yes,No internet service,Electronic check,Month-to-month,5143-WMWOG
50.7,other,No,No,151642.0,Yes,DSL,No,No,No,No,No,0.0,151.3,No,Female,No,4.0,Yes,Yes,Credit card (automatic),Month-to-month,2108-YKQTY
